wikidata,minzoom,maxzoom
Q228,4,9
Q878,3,8
Q889,2,6
Q781,4,9
Q25228,4,9
Q222,4,9
Q399,4,9
Q916,2,6
Q414,1,6
Q40,2,7
Q408,1,5
Q21203,4,9
Q227,3,8
Q225,3,9
Q244,3,9
Q902,2,7
Q31,3,8
Q965,2,7
Q219,3,8
Q398,3,8
Q967,3,8
Q962,3,8
Q23635,3,8
Q921,3,8
Q750,2,7
Q155,1,5
Q778,3,8
Q917,3,8
Q963,3,8
Q184,2,7
Q242,4,9
Q16,1,5
Q974,1,6
Q929,3,8
Q971,3,8
Q39,3,8
Q1008,2,7
Q26988,3,8
Q298,1,6
Q1009,2,7
Q148,1,5
Q739,1,6
Q800,2,7
Q241,2,7
Q1011,3,8
Q25279,4,9
Q229,3,9
Q213,3,8
Q183,1,6
Q977,3,8
Q35,2,7
Q784,3,8
Q786,3,9
Q262,2,6
Q736,2,7
Q191,2,7
Q79,1,6
Q986,3,8
Q29,1,6
Q115,1,6
Q33,2,7
Q712,2,7
Q9648,3,8
Q702,4,9
Q4628,3,8
Q142,1,6
Q1000,2,7
Q145,1,6
Q769,3,8
Q230,3,8
Q25230,4,9
Q117,2,7
Q1410,4,9
Q223,1,6
Q1005,4,9
Q1006,2,7
Q983,3,8
Q41,2,7
Q35086,4,8
Q774,2,7
Q1007,4,9
Q734,3,8
Q783,3,9
Q224,3,8
Q790,3,8
Q28,3,8
Q252,1,6
Q27,2,7
Q801,2,7
Q9676,4,9
Q668,1,6
Q43448,4,9
Q796,2,7
Q794,1,6
Q189,1,6
Q38,1,6
Q785,4,9
Q766,3,8
Q810,3,8
Q17,1,6
Q114,1,6
Q813,2,7
Q424,2,7
Q710,4,9
Q970,3,8
Q763,4,9
Q423,2,7
Q884,2,6
Q817,4,9
Q5785,4,9
Q232,2,6
Q819,3,8
Q822,3,8
Q760,4,9
Q347,4,9
Q854,2,7
Q1014,3,8
Q1013,3,8
Q37,3,8
Q32,5,9
Q211,3,8
Q1016,2,7
Q1028,2,7
Q235,4,9
Q217,4,9
Q236,4,9
Q1019,2,6
Q709,4,9
Q221,4,9
Q912,2,6
Q836,2,7
Q711,2,6
Q1025,2,7
Q13353,4,9
Q233,3,8
Q1027,3,8
Q826,3,8
Q1020,3,8
Q96,1,6
Q833,2,7
Q1029,2,7
Q1030,2,7
Q1032,2,7
Q1033,1,6
Q811,3,8
Q55,4,9
Q20,2,6
Q837,2,7
Q697,4,9
Q34020,3,8
Q664,1,6
Q842,3,8
Q804,3,8
Q419,1,6
Q691,1,7
Q928,2,6
Q843,2,6
Q35672,4,8
Q45,2,7
Q695,4,9
Q733,2,7
Q846,3,8
Q218,2,7
Q403,3,6
Q159,1,4
Q1037,2,7
Q851,2,6
Q685,2,7
Q1042,4,9
Q1049,2,7
Q34,2,6
Q334,3,8
Q192184,4,9
Q215,4,9
Q214,3,8
Q1044,3,8
Q238,4,9
Q1041,2,7
Q1045,3,8
Q730,3,8
Q958,2,7
Q1039,4,9
Q792,4,9
Q26273,4,9
Q858,2,7
Q1050,3,8
Q18221,4,9
Q657,2,7
Q945,4,9
Q869,2,7
Q863,3,8
Q36823,4,9
Q574,3,8
Q874,2,7
Q948,2,7
Q678,3,8
Q43,1,6
Q754,3,9
Q672,4,9
Q865,2,7
Q924,2,7
Q212,2,6
Q1036,2,7
Q30,1,5
Q77,2,7
Q265,2,7
Q237,4,9
Q757,4,9
Q717,2,7
Q25305,4,9
Q881,1,6
Q686,3,8
Q683,2,7
Q1246,4,9
Q805,2,7
Q258,1,6
Q953,2,7
Q954,2,7
