wikidata,minzoom,maxzoom,rankmax
Q228,4,9,-1
Q878,3,8,-1
Q889,2,6,-1
Q781,4,9,-1
Q25228,4,9,-1
Q222,4,9,-1
Q399,4,9,-1
Q916,2,6,-1
Q414,1,6,-1
Q40,2,7,-1
Q408,1,5,-1
Q21203,4,9,-1
Q227,3,8,-1
Q225,3,9,-1
Q244,3,9,-1
Q902,2,7,-1
Q31,3,8,-1
Q965,2,7,-1
Q219,3,8,-1
Q398,3,8,-1
Q967,3,8,-1
Q962,3,8,-1
Q23635,3,8,-1
Q921,3,8,-1
Q750,2,7,-1
Q155,1,5,-1
Q778,3,8,-1
Q917,3,8,-1
Q963,3,8,-1
Q184,2,7,-1
Q242,4,9,-1
Q16,1,5,-1
Q974,1,6,-1
Q929,3,8,-1
Q971,3,8,-1
Q39,3,8,-1
Q1008,2,7,-1
Q26988,3,8,-1
Q298,1,6,-1
Q1009,2,7,-1
Q148,1,5,-1
Q739,1,6,-1
Q800,2,7,-1
Q241,2,7,-1
Q1011,3,8,-1
Q25279,4,9,-1
Q229,3,9,-1
Q213,3,8,-1
Q183,1,6,-1
Q977,3,8,-1
Q35,2,7,-1
Q784,3,8,-1
Q786,3,9,-1
Q262,2,6,-1
Q736,2,7,-1
Q191,2,7,-1
Q79,1,6,-1
Q986,3,8,-1
Q29,1,6,-1
Q115,1,6,-1
Q33,2,7,-1
Q712,2,7,-1
Q9648,3,8,-1
Q702,4,9,-1
Q4628,3,8,-1
Q142,1,6,-1
Q1000,2,7,-1
Q145,1,6,-1
Q769,3,8,-1
Q230,3,8,-1
Q25230,4,9,-1
Q117,2,7,-1
Q1410,4,9,-1
Q223,1,6,-1
Q1005,4,9,-1
Q1006,2,7,-1
Q983,3,8,-1
Q41,2,7,-1
Q35086,4,8,-1
Q774,2,7,-1
Q1007,4,9,-1
Q734,3,8,-1
Q783,3,9,-1
Q224,3,8,-1
Q790,3,8,-1
Q28,3,8,-1
Q252,1,6,-1
Q27,2,7,-1
Q801,2,7,-1
Q9676,4,9,-1
Q668,1,6,-1
Q43448,4,9,-1
Q796,2,7,-1
Q794,1,6,-1
Q189,1,6,-1
Q38,1,6,-1
Q785,4,9,-1
Q766,3,8,-1
Q810,3,8,-1
Q17,1,6,-1
Q114,1,6,-1
Q813,2,7,-1
Q424,2,7,-1
Q710,4,9,-1
Q970,3,8,-1
Q763,4,9,-1
Q423,2,7,-1
Q884,2,6,-1
Q817,4,9,-1
Q5785,4,9,-1
Q232,2,6,-1
Q819,3,8,-1
Q822,3,8,-1
Q760,4,9,-1
Q347,4,9,-1
Q854,2,7,-1
Q1014,3,8,-1
Q1013,3,8,-1
Q37,3,8,-1
Q32,5,9,-1
Q211,3,8,-1
Q1016,2,7,-1
Q1028,2,7,-1
Q235,4,9,-1
Q217,4,9,-1
Q236,4,9,-1
Q1019,2,6,-1
Q709,4,9,-1
Q221,4,9,-1
Q912,2,6,-1
Q836,2,7,-1
Q711,2,6,-1
Q1025,2,7,-1
Q13353,4,9,-1
Q233,3,8,-1
Q1027,3,8,-1
Q826,3,8,-1
Q1020,3,8,-1
Q96,1,6,-1
Q833,2,7,-1
Q1029,2,7,-1
Q1030,2,7,-1
Q1032,2,7,-1
Q1033,1,6,-1
Q811,3,8,-1
Q55,4,9,-1
Q20,2,6,-1
Q837,2,7,-1
Q697,4,9,-1
Q34020,3,8,-1
Q664,1,6,-1
Q842,3,8,-1
Q804,3,8,-1
Q419,1,6,-1
Q691,1,7,-1
Q928,2,6,-1
Q843,2,6,-1
Q35672,4,8,-1
Q45,2,7,-1
Q695,4,9,-1
Q733,2,7,-1
Q846,3,8,-1
Q218,2,7,-1
Q403,3,6,-1
Q159,1,4,-1
Q1037,2,7,-1
Q851,2,6,-1
Q685,2,7,-1
Q1042,4,9,-1
Q1049,2,7,-1
Q34,2,6,-1
Q334,3,8,-1
Q192184,4,9,-1
Q215,4,9,-1
Q214,3,8,-1
Q1044,3,8,-1
Q238,4,9,-1
Q1041,2,7,-1
Q1045,3,8,-1
Q730,3,8,-1
Q958,2,7,-1
Q1039,4,9,-1
Q792,4,9,-1
Q26273,4,9,-1
Q858,2,7,-1
Q1050,3,8,-1
Q18221,4,9,-1
Q657,2,7,-1
Q945,4,9,-1
Q869,2,7,-1
Q863,3,8,-1
Q36823,4,9,-1
Q574,3,8,-1
Q874,2,7,-1
