wikidata,minzoom,maxzoom
Q200667,4,9
Q1162,4,9
Q41079,4,9
Q42392,4,9
Q43194,4,9
Q40780,3,7
Q40130,3,7
Q1164,4,9
Q1499,4,9
Q19206,4,9
Q45208,4,9
Q43934,4,9
Q1193,4,9
Q1502,4,9
Q15176,4,9
Q1363,4,9
Q1223,3,7
Q1221,3,7
Q1212,3,7
Q1951,3,7
Q1989,3,7
Q1207,3,7
Q1948,3,7
Q1527,3,7
Q1904,3,7
Q1166,3,7
Q1397,3,7
Q1400,3,7
Q1384,3,7
Q176,3,7
Q16551,3,7
Q759,3,7
Q724,3,7
Q816,3,7
Q1522,3,7
Q1439,3,7
Q40040,3,7
Q22424,4,9
Q1061,4,9
Q797,3,7
Q2009,3,7
Q15175,4,9
Q66278313,4,9
Q1165,4,9
Q1498,4,9
Q42362,3,7
Q42722,3,7
Q40123,3,7
Q43255,3,7
Q38088,3,7
Q40942,3,7
Q40885,3,7
Q40430,3,7
Q43233,3,7
Q175,3,7
Q3206,3,7
Q35715,3,7
Q36074,3,7
Q3224,3,7
Q36687,3,7
Q42200,4,9
Q41705,4,9
Q1588,3,7
Q1494,3,7
Q173,3,7
Q812,3,7
Q1428,3,7
Q1456,3,7
Q1454,3,7
Q1370,3,7
Q1391,3,7
Q1393,3,7
Q1408,3,7
Q779,3,7
Q1387,3,7
Q771,3,7
Q16967,4,9
Q16963,4,9
Q824,3,7
Q2023,3,7
Q2003,3,7
Q1952,3,7
Q22048,4,9
Q43407,4,9
Q21208,4,9
Q1191,4,9
Q1171,4,9
Q1185,4,9
Q1186,4,9
Q1445,4,9
Q2007,3,7
Q40888,4,9
Q34366,3,7
Q782,3,7
Q1184,4,9
Q1353,4,9
Q829,3,7
Q1214,3,7
Q1227,3,7
Q1261,3,7
Q1211,3,7
Q1553,3,7
Q1558,3,7
Q1649,3,7
Q1546,3,7
Q1581,3,7
Q956,4,9
Q19770,4,9
Q11725,4,9
Q47097,4,9
Q45761,4,9
Q57448,4,9
Q47974,4,9
Q57052,4,9
Q43684,4,9
Q40956,4,9
Q1168,4,9
Q1174,4,9
Q677037,4,9
Q1537,3,7
Q1204,3,7
Q1603,3,7
Q1612,3,7
Q1509,3,7
Q1371,3,7
Q1415,3,7
